,Country,URL
0,A-C,#
55,A-C,#
85,About,https://starbucksmenuprices.com/about/
30,About,https://starbucksmenuprices.com/about/
1,Australia,https://starbucksmenuprices.com/starbucks-au-prices/
56,Australia,https://starbucksmenuprices.com/starbucks-au-prices/
86,Australia,https://starbucksmenuprices.com/starbucks-au-prices/
31,Australia,https://starbucksmenuprices.com/starbucks-au-prices/
32,Brasil,https://starbucksmenuprices.com/starbucks-brasil-precos/
57,Brasil,https://starbucksmenuprices.com/starbucks-brasil-precos/
2,Brasil,https://starbucksmenuprices.com/starbucks-brasil-precos/
87,Brasil,https://starbucksmenuprices.com/starbucks-brasil-precos/
33,Bulgaria,https://starbucksmenuprices.com/starbucks-%d1%86%d0%b5%d0%bd%d0%b8/
58,Bulgaria,https://starbucksmenuprices.com/starbucks-%d1%86%d0%b5%d0%bd%d0%b8/
3,Bulgaria,https://starbucksmenuprices.com/starbucks-%d1%86%d0%b5%d0%bd%d0%b8/
88,Bulgaria,https://starbucksmenuprices.com/starbucks-%d1%86%d0%b5%d0%bd%d0%b8/
5,C-C,#
60,C-C,#
59,Canada,https://starbucksmenuprices.com/starbucks-canada-menu/
89,Canada,https://starbucksmenuprices.com/starbucks-canada-menu/
34,Canada,https://starbucksmenuprices.com/starbucks-canada-menu/
4,Canada,https://starbucksmenuprices.com/starbucks-canada-menu/
8,Chile,https://starbucksmenuprices.com/starbucks-precios-chile/
92,Chile,https://starbucksmenuprices.com/starbucks-precios-chile/
37,Chile,https://starbucksmenuprices.com/starbucks-precios-chile/
63,Chile,https://starbucksmenuprices.com/starbucks-precios-chile/
90,Colombia,https://starbucksmenuprices.com/starbucks-colombia-precios/
35,Colombia,https://starbucksmenuprices.com/starbucks-colombia-precios/
61,Colombia,https://starbucksmenuprices.com/starbucks-colombia-precios/
6,Colombia,https://starbucksmenuprices.com/starbucks-colombia-precios/
62,Costa Rica,https://starbucksmenuprices.com/starbucks-menu-costa-rica/
7,Costa Rica,https://starbucksmenuprices.com/starbucks-menu-costa-rica/
91,Costa Rica,https://starbucksmenuprices.com/starbucks-menu-costa-rica/
36,Costa Rica,https://starbucksmenuprices.com/starbucks-menu-costa-rica/
64,Czech Republic,https://starbucksmenuprices.com/starbucks-ceny-menu/
9,Czech Republic,https://starbucksmenuprices.com/starbucks-ceny-menu/
93,Czech Republic,https://starbucksmenuprices.com/starbucks-ceny-menu/
38,Czech Republic,https://starbucksmenuprices.com/starbucks-ceny-menu/
10,D-F,#
65,D-F,#
94,Denmark,https://starbucksmenuprices.com/starbucks-menu-priser/
39,Denmark,https://starbucksmenuprices.com/starbucks-menu-priser/
66,Denmark,https://starbucksmenuprices.com/starbucks-menu-priser/
11,Denmark,https://starbucksmenuprices.com/starbucks-menu-priser/
70,F-I,#
15,F-I,#
118,Facebook,https://www.facebook.com/Starbucks/
98,Finland,https://starbucksmenuprices.com/starbucks-hinta/
71,Finland,https://starbucksmenuprices.com/starbucks-hinta/
16,Finland,https://starbucksmenuprices.com/starbucks-hinta/
43,Finland,https://starbucksmenuprices.com/starbucks-hinta/
14,France,https://starbucksmenuprices.com/starbucks-menu-prix/
42,France,https://starbucksmenuprices.com/starbucks-menu-prix/
69,France,https://starbucksmenuprices.com/starbucks-menu-prix/
97,France,https://starbucksmenuprices.com/starbucks-menu-prix/
13,Greece,https://starbucksmenuprices.com/%cf%84%ce%b9%ce%bc%ce%ad%cf%82-%ce%bc%ce%b5%ce%bd%ce%bf%cf%8d-starbucks/
96,Greece,https://starbucksmenuprices.com/%cf%84%ce%b9%ce%bc%ce%ad%cf%82-%ce%bc%ce%b5%ce%bd%ce%bf%cf%8d-starbucks/
41,Greece,https://starbucksmenuprices.com/%cf%84%ce%b9%ce%bc%ce%ad%cf%82-%ce%bc%ce%b5%ce%bd%ce%bf%cf%8d-starbucks/
